"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"0500000US18145","Shelby County, Indiana","45104","*****","41641","254","547","180","54","63","390","109","13","22","878","360","1581","328","737","288","844","215",
"0500000US18147","Spencer County, Indiana","19871","*****","18842","126","110","43","19","24","67","26","0","20","197","116","636","113","329","106","307","50",
"0500000US18149","Starke County, Indiana","23300","*****","21922","243","100","33","74","82","68","22","0","24","292","135","844","230","499","231","345","42",
"0500000US18151","Steuben County, Indiana","34648","*****","32297","245","266","124","14","15","64","50","5","9","512","164","1490","299","566","255","924","218",
"0500000US18153","Sullivan County, Indiana","20766","*****","18912","136","698","129","14","16","138","109","3","5","149","114","852","151","335","91","517","101",
"0500000US18155","Switzerland County, Indiana","9914","*****","9446","103","28","31","10","11","101","82","0","18","36","58","293","90","102","66","191","62",
"0500000US18157","Tippecanoe County, Indiana","187399","*****","142132","1097","11227","504","264","114","14629","475","13","18","6108","1011","13026","1038","7609","953","5417","726",
"0500000US18159","Tipton County, Indiana","15329","*****","14482","149","119","59","10","14","47","44","18","29","244","133","409","129","160","112","249","59",
"0500000US18161","Union County, Indiana","7028","*****","6742","28","39","28","8","13","73","50","0","18","2","6","164","61","22","34","142","51",
"0500000US18163","Vanderburgh County, Indiana","179908","*****","147680","767","17425","703","400","432","2432","243","456","63","2927","643","8588","874","2276","537","6312","861",
"0500000US18165","Vermillion County, Indiana","15452","*****","14851","51","0","20","31","22","22","20","3","4","39","19","506","65","154","69","352","43",
"0500000US18167","Vigo County, Indiana","106201","*****","90585","352","6528","378","195","92","2212","207","109","103","1398","397","5174","559","1432","319","3742","494",
"0500000US18169","Wabash County, Indiana","30901","*****","29170","233","364","65","46","41","120","52","23","33","328","163","850","209","398","185","452","95",
"0500000US18171","Warren County, Indiana","8469","*****","8036","47","8","14","5","9","53","33","2","4","20","25","345","63","58","40","287","69",
"0500000US18173","Warrick County, Indiana","64650","*****","58751","485","1334","271","96","85","1073","289","0","30","442","286","2954","522","1032","355","1922","374",
"0500000US18175","Washington County, Indiana","28167","*****","27033","168","77","48","0","24","46","30","0","24","192","109","819","184","304","153","515","73",
"0500000US18177","Wayne County, Indiana","66377","*****","57723","333","2737","437","270","269","700","159","5","8","1222","359","3720","589","912","274","2808","471",
"0500000US18179","Wells County, Indiana","28261","*****","26355","160","297","118","6","6","61","36","14","20","627","187","901","169","413","146","488","118",
"0500000US18181","White County, Indiana","24709","*****","21739","183","110","45","44","38","60","34","18","33","1421","293","1317","277","890","278","427","63",
"0500000US18183","Whitley County, Indiana","34388","*****","32237","344","70","46","31","23","103","39","0","27","309","245","1638","314","799","333","839","147",
"0500000US19001","Adair County, Iowa","7471","*****","7091","65","101","47","27","35","27","28","7","11","68","48","150","57","86","49","64","29",
"0500000US19003","Adams County, Iowa","3641","*****","3475","31","13","11","20","22","0","10","0","10","3","4","130","39","35","28","95","30",
"0500000US19005","Allamakee County, Iowa","14038","*****","12690","155","246","83","115","98","76","64","0","16","263","124","648","190","548","176","100","52",
"0500000US19007","Appanoose County, Iowa","12242","*****","11641","109","121","91","7","13","53","41","0","16","0","16","420","113","94","76","326","104",
"0500000US19009","Audubon County, Iowa","5622","*****","5351","44","15","22","12","16","2","5","5","9","66","56","171","42","47","27","124","33",
"0500000US19011","Benton County, Iowa","25698","*****","24484","119","104","52","29","33","51","18","0","19","293","78","737","107","213","102","524","57",
