"GEO_ID","NAME","B03003_001E","B03003_001M","B03003_002E","B03003_002M","B03003_003E","B03003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino","Margin of Error!!Total:!!Not Hispanic or Latino","Estimate!!Total:!!Hispanic or Latino","Margin of Error!!Total:!!Hispanic or Latino",
"0500000US05083","Logan County, Arkansas","21240","*****","20533","*****","707","*****",
"0500000US05085","Lonoke County, Arkansas","74747","*****","70876","*****","3871","*****",
"0500000US05087","Madison County, Arkansas","17032","*****","15996","*****","1036","*****",
"0500000US05089","Marion County, Arkansas","17076","*****","16630","*****","446","*****",
"0500000US05091","Miller County, Arkansas","42588","*****","40905","*****","1683","*****",
"0500000US05093","Mississippi County, Arkansas","39749","*****","37888","*****","1861","*****",
"0500000US05095","Monroe County, Arkansas","6681","*****","6492","*****","189","*****",
"0500000US05097","Montgomery County, Arkansas","8571","*****","8161","*****","410","*****",
"0500000US05099","Nevada County, Arkansas","8228","*****","7849","*****","379","*****",
"0500000US05101","Newton County, Arkansas","7175","*****","7052","70","123","70",
"0500000US05103","Ouachita County, Arkansas","22317","*****","21755","*****","562","*****",
"0500000US05105","Perry County, Arkansas","10073","*****","9741","*****","332","*****",
"0500000US05107","Phillips County, Arkansas","15910","*****","15605","*****","305","*****",
"0500000US05109","Pike County, Arkansas","10182","*****","9381","*****","801","*****",
"0500000US05111","Poinsett County, Arkansas","22740","*****","21900","*****","840","*****",
"0500000US05113","Polk County, Arkansas","19348","*****","18023","*****","1325","*****",
"0500000US05115","Pope County, Arkansas","63830","*****","57047","*****","6783","*****",
"0500000US05117","Prairie County, Arkansas","8162","*****","7983","*****","179","*****",
"0500000US05119","Pulaski County, Arkansas","398949","*****","366227","*****","32722","*****",
"0500000US05121","Randolph County, Arkansas","18733","*****","18272","*****","461","*****",
"0500000US05123","St. Francis County, Arkansas","22740","*****","21980","*****","760","*****",
"0500000US05125","Saline County, Arkansas","125724","*****","116948","*****","8776","*****",
"0500000US05127","Scott County, Arkansas","9839","*****","9071","*****","768","*****",
"0500000US05129","Searcy County, Arkansas","7861","*****","7689","*****","172","*****",
"0500000US05131","Sebastian County, Arkansas","128448","*****","108425","*****","20023","*****",
"0500000US05133","Sevier County, Arkansas","15797","*****","10259","*****","5538","*****",
"0500000US05135","Sharp County, Arkansas","17597","*****","17188","*****","409","*****",
"0500000US05137","Stone County, Arkansas","12474","*****","12208","*****","266","*****",
"0500000US05139","Union County, Arkansas","38368","*****","36617","*****","1751","*****",
"0500000US05141","Van Buren County, Arkansas","15936","*****","15403","*****","533","*****",
"0500000US05143","Washington County, Arkansas","251863","*****","205649","*****","46214","*****",
"0500000US05145","White County, Arkansas","77395","*****","73702","*****","3693","*****",
"0500000US05147","Woodruff County, Arkansas","6157","*****","6121","39","36","39",
"0500000US05149","Yell County, Arkansas","20195","*****","15981","*****","4214","*****",
"0500000US06001","Alameda County, California","1651949","*****","1266704","*****","385245","*****",
"0500000US06003","Alpine County, California","1695","234","1446","218","249","115",
"0500000US06005","Amador County, California","41029","*****","34668","*****","6361","*****",
"0500000US06007","Butte County, California","209470","*****","168641","*****","40829","*****",
"0500000US06009","Calaveras County, California","45995","*****","39592","*****","6403","*****",
"0500000US06011","Colusa County, California","21895","*****","8256","*****","13639","*****",
"0500000US06013","Contra Costa County, California","1161458","*****","844659","*****","316799","*****",
"0500000US06015","Del Norte County, California","27293","*****","21943","*****","5350","*****",
"0500000US06017","El Dorado County, California","192299","*****","165069","*****","27230","*****",
"0500000US06019","Fresno County, California","1012152","*****","464483","*****","547669","*****",
"0500000US06021","Glenn County, California","28623","*****","15991","*****","12632","*****",
"0500000US06023","Humboldt County, California","135418","*****","116674","*****","18744","*****",
"0500000US06025","Imperial County, California","179319","*****","25859","*****","153460","*****",
"0500000US06027","Inyo County, California","18803","*****","14334","*****","4469","*****",
"0500000US06029","Kern County, California","910433","*****","402977","*****","507456","*****",
"0500000US06031","Kings County, California","152830","*****","64970","*****","87860","*****",
"0500000US06033","Lake County, California","68139","*****","51955","*****","16184","*****",
"0500000US06035","Lassen County, California","31177","*****","24150","*****","7027","*****",
"0500000US06037","Los Angeles County, California","9848406","*****","5095037","*****","4753369","*****",
"0500000US06039","Madera County, California","158790","*****","62955","*****","95835","*****",
"0500000US06041","Marin County, California","258765","*****","209637","*****","49128","*****",
"0500000US06043","Mariposa County, California","17060","*****","14719","*****","2341","*****",
"0500000US06045","Mendocino County, California","90709","*****","66269","*****","24440","*****",
"0500000US06047","Merced County, California","285597","*****","106636","*****","178961","*****",
